id,score,prob_neg,prob_neu,prob_pos,main_modality,main_modality_relu,pi_text,pi_audio,pi_vision,phi_text,phi_audio,phi_vision,phi_text_padsem,phi_audio_padsem,phi_vision_padsem,miss_text,miss_audio,miss_vision
01,0.1442,0.1678,0.5661,0.2661,vision,text,0.3348,0.3275,0.3377,0.0221,0.0002,-0.0306,0.4011,0.293,-0.6385,0.0,0.0,0.0
02,0.4062,0.1246,0.4376,0.4378,text,text,0.3942,0.2951,0.3107,0.304,-0.0146,-0.0659,0.7415,0.2354,-0.7262,0.0,0.0,0.0
03,-0.2985,0.3906,0.4954,0.114,text,vision,0.4684,0.2642,0.2674,-0.5728,-0.0003,0.0121,-0.0307,0.3347,-0.61,0.0,0.0,0.0
04,-0.4443,0.7273,0.1471,0.1256,text,vision,0.508,0.2185,0.2735,-0.8968,0.0529,0.2777,-0.6158,0.4824,-0.0451,0.0,0.0,0.0
05,0.6404,0.0605,0.369,0.5705,text,text,0.3713,0.2812,0.3475,0.2798,-0.0018,0.2135,0.1834,0.0641,-0.0502,0.0,0.0,0.0
06,0.8369,0.0775,0.2136,0.7089,text,text,0.4844,0.2469,0.2688,0.6779,-0.0038,-0.0888,1.1287,0.1804,-0.9212,0.0,0.0,0.0
07,0.6441,0.0639,0.3419,0.5942,text,text,0.4574,0.2698,0.2727,0.5322,-0.0043,-0.0152,0.8031,0.2121,-0.7065,0.0,0.0,0.0
08,0.588,0.064,0.3812,0.5548,text,text,0.4389,0.2699,0.2913,0.4938,-0.0075,-0.0838,0.6542,0.1221,-0.6649,0.0,0.0,0.0
09,-2.3557,0.9678,0.0196,0.0126,text,audio,0.8549,0.0714,0.0737,-2.5032,0.0202,-0.0523,-1.6672,1.1007,-0.2666,0.0,0.0,0.0
10,-1.2545,0.9057,0.0462,0.0482,text,vision,0.6906,0.1517,0.1576,-1.5465,0.031,0.0691,-0.3469,1.164,-0.0277,0.0,0.0,0.0
11,-0.5921,0.7352,0.1543,0.1104,text,,0.4971,0.2519,0.2509,-0.7022,-0.0225,-0.0185,-0.0865,0.3439,-0.6682,0.0,0.0,0.0
12,-0.8497,0.7403,0.2105,0.0492,text,,0.5442,0.2211,0.2347,-0.9051,-0.0042,-0.0642,-0.3216,0.4516,-0.8352,0.0,0.0,0.0
13,0.2921,0.0369,0.6379,0.3251,text,,0.3423,0.3309,0.3268,-0.0463,-0.0125,-0.0001,0.0144,0.0931,0.0,0.0,0.0,1.0
14,0.4099,0.1058,0.4882,0.406,vision,vision,0.3221,0.3046,0.3733,-0.067,0.0109,0.2144,0.0918,0.1823,-0.076,0.0,0.0,0.0
15,1.1036,0.0424,0.1342,0.8235,text,text,0.5216,0.2394,0.239,0.8322,0.0536,0.0519,1.0057,0.2694,-0.5237,0.0,0.0,0.0
16,-2.4917,0.9725,0.0184,0.0091,text,,0.8731,0.0625,0.0644,-2.6401,-0.0033,-0.0338,-1.7102,0.9632,-0.1432,0.0,0.0,0.0
17,1.553,0.0208,0.0532,0.926,text,text,0.6736,0.1633,0.1631,1.4237,-0.0067,0.0052,1.3893,-0.1321,-0.8424,0.0,0.0,0.0
18,-0.2661,0.3703,0.5033,0.1264,text,audio,0.4132,0.2893,0.2975,-0.3693,0.0126,-0.0408,0.0718,0.4043,-0.7308,0.0,0.0,0.0
19,-0.048,0.5377,0.2168,0.2455,text,vision,0.397,0.2875,0.3155,-0.3328,0.0103,0.1033,0.199,0.4038,-0.4407,0.0,0.0,0.0
20,0.9016,0.0449,0.2195,0.7356,text,text,0.4907,0.2467,0.2626,0.7004,0.0129,0.0752,0.7775,0.1373,-0.5473,0.0,0.0,0.0
