sample_id,status,decoded_frame_count,sampled_frame_count,face_detected_frame_count,multi_face_frame_count,face_valid_frame_count,no_face_frame_count,small_single_face_frame_count,first_frame_time_source_s,last_frame_time_source_s,first_frame_time_wav_s,last_frame_time_wav_s,max_sampled_frame_gap_s,frames_after_reported_video_end_count,last_pts_minus_reported_video_end_s,video_start_s,audio_start_s,feature_file,feature_file_sha256,elapsed_s
-3g5yACwYnA$_$13,passed,163,55,55,0,55,0,0,0.0,5.4,0.0,5.4,0.10000000000000053,0,-0.11399699999999946,0.0,0.0,结果/07_FaceLandmarker52/逐样本/-3g5yACwYnA$_$13.npz,fa4dcedfa7f35fb5978081b45bbe4c9f6d92d6f3643914a5deece0210e9eb40e,0.926
-3g5yACwYnA$_$3,passed,431,144,144,0,144,0,0,0.0,14.3,0.0,14.3,0.10000000000000142,0,-0.0889969999999991,0.0,0.0,结果/07_FaceLandmarker52/逐样本/-3g5yACwYnA$_$3.npz,f560dac3f17658d98846a97b7486522f6248bec86a491c3bf8e97ea45fdbb348,2.216
-3g5yACwYnA$_$2,passed,278,94,94,0,94,0,0,0.0,9.333333333333334,0.0,9.333333333333334,0.13333333333333464,0,-0.060676666666665824,0.0,0.0,结果/07_FaceLandmarker52/逐样本/-3g5yACwYnA$_$2.npz,0c905d0895ecf1311e4679458182dcae1c49083a06141f61ef379ed9cc2212fe,1.497
-3g5yACwYnA$_$9,passed,263,88,88,0,88,0,0,0.0,8.7,0.0,8.7,0.10000000000000142,0,-0.11699200000000154,0.0,0.0,结果/07_FaceLandmarker52/逐样本/-3g5yACwYnA$_$9.npz,6396dd8d2066e20dfc0f01cec05b5512815827695e253948eead4488bc92bdeb,1.462
-3nNcZdcdvU$_$5,passed,236,79,79,0,79,0,0,0.0,7.8,0.0,7.8,0.10000000000000053,0,-0.06796900000000061,0.0,0.0,结果/07_FaceLandmarker52/逐样本/-3nNcZdcdvU$_$5.npz,bfaa4f46554ae000345318da22d1be1adbba585ca2b064044fbbaa61bfe1ccde,0.748
-HwX2H8Z4hY$_$2,passed,119,40,9,0,9,31,0,0.0,3.9,0.0,3.9,0.10000000000000009,0,-0.08203100000000019,0.0,0.0,结果/07_FaceLandmarker52/逐样本/-HwX2H8Z4hY$_$2.npz,46f8d6c2fe906cb30b87f2c2da6c07828e094389fc05d9aed66a7c538fe1d3f2,0.479
-HwX2H8Z4hY$_$5,passed,168,57,18,0,18,39,0,0.0,5.6,0.0,5.6,0.10000000000000053,0,-0.052995000000000125,0.0,0.0,结果/07_FaceLandmarker52/逐样本/-HwX2H8Z4hY$_$5.npz,4601b0e585c218a739ca35761995c68aa9f09b53b4ff4ba7ba31643ae6840866,0.977
-HwX2H8Z4hY$_$6,passed,99,34,21,0,21,13,0,0.0,3.3,0.0,3.3,0.10000000000000009,0,-0.05800800000000006,0.0,0.0,结果/07_FaceLandmarker52/逐样本/-HwX2H8Z4hY$_$6.npz,93c5deba9fcb9a863a66a5f8ac511b5361df8095f22c1ec1a2f0e45ce86a26eb,0.604
-HwX2H8Z4hY$_$9,passed,232,78,0,0,0,78,0,0.0,7.7,0.0,7.7,0.10000000000000053,0,-0.033984000000000236,0.0,0.0,结果/07_FaceLandmarker52/逐样本/-HwX2H8Z4hY$_$9.npz,71f9f3fd6c0af76e0b72bacca1e70004ea68c0e8e3129ce8a458970ca8290a3f,0.689
-NFrJFQijFE$_$1,passed,142,57,0,0,0,57,0,0.0,5.6,0.0,5.6,0.1200000000000001,0,-0.1460000000000008,0.0,0.0,结果/07_FaceLandmarker52/逐样本/-NFrJFQijFE$_$1.npz,a3c1a80268b7cd65864c1bc2d43c594fd48f2e003ac5b12e28e23ca4ac5ad044,0.512
-NFrJFQijFE$_$2,passed,169,68,0,0,0,68,0,0.0,6.8,0.0,6.8,0.20000000000000018,0,-0.05600000000000005,0.0,0.0,结果/07_FaceLandmarker52/逐样本/-NFrJFQijFE$_$2.npz,949e58269eb741db97bd0e58f9822bc8b7849d5fc2acf88df0a0f18fa4562f79,0.664
-THoVjtIkeU$_$12,passed,445,149,149,0,149,0,0,0.0,14.833333333333334,0.0,14.833333333333334,0.13333333333333464,0,-0.06269566666666648,0.0,0.0,结果/07_FaceLandmarker52/逐样本/-THoVjtIkeU$_$12.npz,50acde2884dcd4212b47313f2b056fc41bb43cb58e606ac7209f9a0c6e8bf150,1.61
-THoVjtIkeU$_$2,passed,128,43,43,0,43,0,0,0.0,4.2,0.0,4.2,0.10000000000000053,0,-0.09199199999999941,0.0,0.0,结果/07_FaceLandmarker52/逐样本/-THoVjtIkeU$_$2.npz,00247b326aa60b2a19cf06dcc0bf5a55459c7d2aebf0cd112eb32ed5ea7f3765,0.476
-THoVjtIkeU$_$6,passed,241,81,81,0,81,0,0,0.0,8.033333333333333,0.0,8.033333333333333,0.13333333333333286,0,-0.06367166666666613,0.0,0.0,结果/07_FaceLandmarker52/逐样本/-THoVjtIkeU$_$6.npz,d1e2ada8489cfe01c7a97c15ae5a1bab8ec5023bfdb925ec126159732974c8aa,0.878
-UuX1xuaiiE$_$1,passed,309,104,5,0,5,99,0,0.0,10.3,0.0,10.3,0.10000000000000142,0,-0.049999999999998934,0.0,0.0,结果/07_FaceLandmarker52/逐样本/-UuX1xuaiiE$_$1.npz,8b45d9c7a8cc03cf67739b5acdda5094abfe0653d547ada13e674f4eb475ab7b,1.029
-UuX1xuaiiE$_$0,passed,109,37,18,0,18,19,0,0.0,3.6,0.0,3.6,0.10000000000000009,0,-0.033332999999999835,0.0,0.0,结果/07_FaceLandmarker52/逐样本/-UuX1xuaiiE$_$0.npz,21cdcd9bfe92c584465cd910ed3f9363aaf8b830ed10744be0bd7aa26435c82b,0.509
